accumulated_eval_time,accumulated_logging_time,accumulated_submission_time,global_step,preemption_count,score,test/ctc_loss,test/num_examples,test/wer,total_duration,train/ctc_loss,train/wer,validation/ctc_loss,validation/num_examples,validation/wer
56.94939041137695,0.0,42.87352132797241,1,0,42.87352132797241,29.11605264855797,2472.0,1.9223082079093288,100.4587390422821,30.15955853957629,1.981930739909708,29.101036643560377,5348.0,1.853183990730459
105.77724027633668,0.1116397380828857,1487.4287774562836,1780,0,1487.4287774562836,0.9759216320407768,2472.0,0.3060955050474275,1597.3707542419434,1.149793298317762,0.3539185207212565,1.3789956259732268,5348.0,0.3833341379809781
155.0781052112579,0.8570079803466797,2931.987795352936,3550,0,2931.987795352936,0.5242322085295825,2472.0,0.1733187089959986,3094.752783060074,0.5752216914180798,0.193960693141575,0.8375874726868595,5348.0,0.2433640708733645
203.21196389198303,1.5053048133850098,4376.772100687027,5232,0,4376.772100687027,0.4672993519743209,2472.0,0.157617857940812,4591.035335063934,0.4925818803734392,0.1708415560541753,0.7691956731433344,5348.0,0.2252594988654468
249.73937559127808,2.1272003650665283,5821.203027009964,7077,0,5821.203027009964,0.41304025662946,2472.0,0.1389108931001564,6085.436252355576,0.434364038226367,0.15134492173772,0.7006530823035966,5348.0,0.2069714671945155
298.2609007358551,2.8061702251434326,7265.568481206894,8976,0,7265.568481206894,0.3917704620056133,2472.0,0.1302378485974854,7581.930332899094,0.3986203991250059,0.1398502338406639,0.6677292694833735,5348.0,0.1956355911746246
348.4540822505951,3.558115005493164,8709.927156209946,10839,0,8709.927156209946,0.3652179928947028,2472.0,0.1216866735726037,9080.137943267822,0.36449194111151,0.1275012840961314,0.6271424725612819,5348.0,0.1837010573070052
394.93479895591736,5.205396890640259,10153.765706300735,12598,0,10153.765706300735,0.3518801616233305,2472.0,0.1182743281945036,10574.80609035492,0.3485205945843863,0.1220134627341785,0.6101416614081022,5348.0,0.1796939120359194
441.4330799579621,5.92178750038147,11598.896373033524,14373,0,11598.896373033524,0.3327450813358926,2472.0,0.1121402311457762,12069.822497844696,0.3216588768030027,0.1148874050444702,0.5839132470300884,5348.0,0.1721913773958383
488.5298128128052,7.311751842498779,13044.31572008133,16283,0,13044.31572008133,0.3156666357506936,2472.0,0.1038937298153677,13566.679579734802,0.2992007908991131,0.1075504852531697,0.56101764405327,5348.0,0.1632018539081736
536.2241864204407,9.00889015197754,14489.596905469894,18175,0,14489.596905469894,0.3024529808374734,2472.0,0.1005016960168992,15064.12097620964,0.2805512200120595,0.1004784947689978,0.545270156783705,5348.0,0.1603727127890696
585.3082716464996,9.951618194580078,15934.07013630867,19994,0,15934.07013630867,0.2918565562697593,2472.0,0.0956878516442223,16561.36439704895,0.2632381809743836,0.0940499040307101,0.5202000491322584,5348.0,0.1537391976053686
632.6170897483826,10.64287042617798,17378.62093925476,21710,0,17378.62093925476,0.2797430227353377,2472.0,0.0940629252736985,18056.68281316757,0.2422253713135412,0.0882701197588602,0.5108665878666867,5348.0,0.1498286100516583
681.2523458003998,11.95893669128418,18822.28620839119,23564,0,18822.28620839119,0.2665640726821085,2472.0,0.0894521966973371,19553.55473279953,0.2268382910261448,0.0827931118380146,0.4916061146900743,5348.0,0.1450200357263554
729.3561198711395,12.549954175949097,20266.68814730644,25461,0,20266.68814730644,0.2582534054616426,2472.0,0.0860195397396055,21049.63014554977,0.2102255140124389,0.0760941850720445,0.4768263111877134,5348.0,0.1409839231400569
777.5170760154724,14.245742321014404,21709.965257883072,27317,0,21709.965257883072,0.2469401755758436,2472.0,0.0823634554059269,22545.631855010983,0.1932403357489109,0.0702603335946581,0.4612630208333333,5348.0,0.1358760198908898
823.7755529880524,15.548851013183594,23153.72156739235,29066,0,23153.72156739235,0.2387938334731273,2472.0,0.078402697377775,24039.660544633865,0.1796812542767325,0.0658754832256494,0.4484668047236035,5348.0,0.132216482402356
871.1559715270996,16.173245191574097,24598.4393825531,30848,0,24598.4393825531,0.2339094457706949,2472.0,0.0785651900148274,25535.221878528595,0.1699139884511283,0.0626638912167824,0.4405936742609755,5348.0,0.1290783565876502
922.7221167087556,16.890277862548828,26044.237352848053,32754,0,26044.237352848053,0.2297214739660623,2472.0,0.0768793289054089,27036.56184458733,0.1611657017906382,0.0596253142656321,0.4328476421225136,5348.0,0.1262105923815961
971.4808304309844,18.563910484313965,27487.627212285995,34646,0,27487.627212285995,0.2264935943447964,2472.0,0.0755184530700952,28533.26165819168,0.1559573772789479,0.0576086074991214,0.4285661307640144,5348.0,0.1248974074252884
1018.3742728233336,19.2675461769104,28932.245615959167,36467,0,28932.245615959167,0.2252208811858829,2472.0,0.074807547782991,30028.403813123703,0.1535204336776173,0.0566408045200183,0.4275367864049628,5348.0,0.1248877516535509
1068.317743062973,20.344218254089355,30376.539126873016,38179,0,30376.539126873016,0.2249147626459771,2472.0,0.0750106635793065,31526.46436810493,0.1530889230086517,0.0566353977994647,0.427220095250653,5348.0,0.1248394727948631
1111.2912182807922,21.036577939987183,30502.35416340828,38401,0,30502.35416340828,0.2249500723837021,2472.0,0.074990351999675,31697.453012943268,0.1530925619364028,0.0566245843583574,0.4272710621201276,5348.0,0.1248780958818133
,,,38401,0,30502.35416340828,,,,,,,,,
